,GEOID,number_of_facilities_in_tract,distance_nearest_facility
119,17031610300,9.0,0.0
120,17031670700,0.0,2358.448794446547
121,17031710500,0.0,991.6707685632234
122,17031283100,0.0,803.6954415490288
123,17031750200,0.0,1928.2889160634672
124,17031030200,0.0,697.2922851783621
125,17031832500,0.0,65.2060635879936
126,17031710700,0.0,1556.8330827603836
127,17031032100,0.0,3269.6966891608126
128,17031680600,0.0,2276.4402258497435
129,17031832100,0.0,2985.0236717474704
130,17031833100,0.0,477.0553530794678
131,17031310300,0.0,281.5373949550013
132,17031710200,0.0,1352.9957298490608
133,17031730600,0.0,1684.169825279194
134,17031081900,0.0,376.28418706768434
135,17031070102,0.0,2309.0545369468596
136,17031843800,0.0,764.4950309964102
137,17031340300,0.0,666.9653525274425
138,17031080300,0.0,302.9605439134057
139,17031330200,0.0,989.6434588263595
140,17031835700,0.0,637.345464297647
141,17031351400,0.0,643.5973109609403
142,17031839600,0.0,1049.9541404339768
143,17031381400,0.0,1449.9860551222062
144,17031381800,0.0,1819.6243341860327
145,17031691300,0.0,1339.2938802536548
146,17031440300,0.0,872.2887240343024
147,17031380200,0.0,1459.6816656630558
148,17031843600,0.0,2204.384272143626
149,17031440900,0.0,1231.5780266646082
150,17031836200,0.0,1822.042310982516
151,17031390600,0.0,3414.5424665970027
152,17031420200,0.0,2339.304155658621
153,17031480300,0.0,83.39307055883211
154,17031480100,0.0,827.2926087198714
155,17031431301,0.0,3471.0577536019778
156,17031460301,0.0,2722.3546074652468
157,17031170300,0.0,3256.998563550744
158,17031831500,0.0,1469.989562894031
159,17031190602,0.0,733.0761095542316
160,17031151100,0.0,1394.474153796688
161,17031250300,0.0,203.7770767189434
162,17031251500,0.0,1076.6639890344818
163,17031120400,0.0,379.4259455319502
164,17031831700,0.0,155.81034690086125
165,17031190100,0.0,987.4226167428113
166,17031260500,0.0,596.1329187941681
167,17031210400,0.0,1067.3607195317522
168,17031301803,0.0,597.6098985192654
169,17031140601,0.0,1860.9609264141866
170,17031620200,0.0,104.10632273883704
171,17031650200,0.0,804.4958051172983
172,17031260100,0.0,261.6069577657962
173,17031260800,0.0,656.7924110845589
174,17031231200,0.0,535.5038762427779
175,17031230300,0.0,53.85717571882797
176,17031620400,1.0,0.0
177,17031231500,0.0,339.55048498512014
178,17031841400,0.0,1355.059733425043
179,17031210602,0.0,1008.932204635378
180,17031221300,0.0,1256.6928929956725
181,17031301100,0.0,656.6914264703158
182,17031660302,0.0,857.8207762922309
183,17031580600,0.0,744.5084996091404
184,17031040700,0.0,2375.988528307361
185,17031040800,0.0,2150.9400437690783
186,17031050300,0.0,1550.481092720841
187,17031240600,0.0,1870.215408508891
188,17031837100,0.0,1206.4357649787787
189,17031580800,0.0,244.28998428577916
190,17031221600,0.0,1180.1787408050313
191,17031660700,0.0,1117.3718377130422
192,17031841200,0.0,380.31263672951746
193,17031050700,0.0,1054.4674100489904
194,17031310900,0.0,121.11061109441502
195,17031010702,0.0,358.52781672008314
196,17031060300,0.0,1632.40078540326
197,17031242100,0.0,739.1295603246024
198,17031031800,0.0,3177.9603927570997
199,17031010600,0.0,531.91502397538
200,17031610400,0.0,493.89388065946343
201,17031062400,0.0,1478.056760753639
202,17031062700,0.0,1406.989080497118
203,17031241600,0.0,310.31028069329346
204,17031030800,0.0,2231.464303027903
205,17031670200,0.0,1920.0051832097536
206,17031030701,0.0,2535.444168569488
207,17031030703,0.0,2712.3356604840014
208,17031061100,0.0,2570.0929599898395
209,17031671800,0.0,1342.6137901893037
210,17031310600,7.0,0.0
211,17031711100,0.0,1055.6652329939668
212,17031283800,0.0,693.9222826056023
213,17031681100,0.0,1861.739443699395
214,17031062000,0.0,2832.6078477481597
215,17031842300,13.0,0.0
216,17031071600,0.0,943.7385751507733
217,17031843200,9.0,0.0
218,17031681300,0.0,1563.4268697077068
219,17031340400,0.0,962.6480495362
220,17031340500,0.0,903.6035671028997
221,17031691100,0.0,1214.9823999538546
222,17031842400,0.0,43.15624383658445
223,17031490700,0.0,1943.1485754353591
224,17031381500,0.0,1272.6810096153622
225,17031490901,0.0,1256.6103223669616
226,17031380100,0.0,1764.0816421425918
227,17031400300,0.0,1249.173750522789
228,17031836300,0.0,3095.2938246255762
229,17031836500,0.0,2195.486493113839
230,17031410800,0.0,3315.2811297207522
231,17031411100,0.0,2912.906137338195
232,17031430101,0.0,3969.6390596650963
233,17031430600,0.0,4130.37543104333
234,17031460500,0.0,2280.2300827717477
235,17031510100,0.0,3.0585546274393196
236,17031520200,0.0,786.0837290847695
237,17031110200,6.0,0.0
238,17031190402,0.0,1560.0982836757912
239,17031640300,0.0,682.0764616272156
240,17031190702,0.0,753.6584025481538
241,17031250700,0.0,599.5036916578022
242,17031110501,0.0,110.44372565638669
243,17031190200,0.0,1121.0291637722084
244,17031251800,0.0,264.14919937063775
245,17031980100,0.0,131.91079531351045
246,17031230500,0.0,280.81165081981277
247,17031301802,0.0,869.5673485275738
248,17031140602,0.0,1799.867398904191
249,17031160400,0.0,1061.8339059674447
250,17031160900,0.0,609.165338982828
251,17031210501,0.0,993.1200498216646
252,17031570100,0.0,860.1023974231528
253,17031620100,0.0,821.5262549913689
254,17031140702,0.0,1689.1665004945683
255,17031130300,0.0,1010.5478289084358
256,17031836800,0.0,675.5759048897124
257,17031841600,0.0,1637.3486694425976
258,17031831800,0.0,779.2607773904749
259,17031660500,0.0,824.4284611481106
260,17031222600,0.0,791.1788931803934
261,17031020701,0.0,1830.8896885678637
262,17031040300,0.0,2139.0917939688115
263,17031210800,0.0,539.8239480122796
264,17031242700,0.0,2064.630617191444
265,17031838600,0.0,2153.6386985335753
266,17031843100,0.0,1058.4929778722058
267,17031580200,0.0,185.6176964040823
268,17031020302,0.0,1176.7748390560027
269,17031020801,0.0,1732.6735919046075
270,17031210900,0.0,126.10151485968197
271,17031580100,0.0,217.85060800370258
